DATE,BUSAPPWNSAUS
2016-03-26,65220
2016-04-02,60090
2016-04-09,64190
2016-04-16,61690
2016-04-23,61500
2016-04-30,62170
2016-05-07,61440
2016-05-14,59500
2016-05-21,57070
2016-05-28,62620
2016-06-04,46720
2016-06-11,60300
2016-06-18,56680
2016-06-25,54690
2016-07-02,34480
2016-07-09,59880
2016-07-16,55520
2016-07-23,54100
2016-07-30,55340
2016-08-06,54730
2016-08-13,55100
2016-08-20,56420
2016-08-27,56240
2016-09-03,54440
2016-09-10,45840
2016-09-17,57790
2016-09-24,58360
2016-10-01,56780
2016-10-08,54340
2016-10-15,47140
2016-10-22,54070
2016-10-29,53780
2016-11-05,51690
2016-11-12,52620
2016-11-19,51030
2016-11-26,41550
2016-12-03,50960
2016-12-10,55440
2016-12-17,56250
2016-12-24,52430
2016-12-31,22520
2017-01-07,60940
2017-01-14,70430
2017-01-21,61800
2017-01-28,75570
2017-02-04,74360
2017-02-11,69270
2017-02-18,66800
2017-02-25,66060
2017-03-04,72520
2017-03-11,71890
2017-03-18,70950
2017-03-25,68480
2017-04-01,71240
2017-04-08,69390
2017-04-15,66680
2017-04-22,64200
2017-04-29,66590
2017-05-06,65380
2017-05-13,65450
2017-05-20,63780
2017-05-27,64370
2017-06-03,50320
2017-06-10,65900
2017-06-17,60620
2017-06-24,60850
2017-07-01,62230
2017-07-08,46790
2017-07-15,61220
2017-07-22,61140
2017-07-29,60620
2017-08-05,59680
2017-08-12,59830
2017-08-19,63040
2017-08-26,58760
2017-09-02,59530
2017-09-09,46910
2017-09-16,56280
2017-09-23,60280
2017-09-30,59700
2017-10-07,54660
2017-10-14,53760
2017-10-21,60760
2017-10-28,62570
2017-11-04,59720
2017-11-11,60800
2017-11-18,56090
2017-11-25,44660
2017-12-02,54300
2017-12-09,61480
2017-12-16,60670
2017-12-23,59330
2017-12-30,11410
2018-01-06,76910
2018-01-13,78980
2018-01-20,68030
2018-01-27,79200
2018-02-03,80910
2018-02-10,77620
2018-02-17,74280
2018-02-24,71520
2018-03-03,79560
2018-03-10,78170
2018-03-17,80520
2018-03-24,77890
2018-03-31,77310
2018-04-07,72590
2018-04-14,73710
2018-04-21,70430
2018-04-28,75350
2018-05-05,74530
2018-05-12,72420
2018-05-19,74560
2018-05-26,69940
2018-06-02,57520
2018-06-09,69530
2018-06-16,69370
2018-06-23,69050
2018-06-30,68680
2018-07-07,53270
2018-07-14,66080
2018-07-21,62780
2018-07-28,67650
2018-08-04,68280
2018-08-11,66170
2018-08-18,67260
2018-08-25,65630
2018-09-01,62950
2018-09-08,55860
2018-09-15,64220
2018-09-22,64310
2018-09-29,64710
2018-10-06,61760
2018-10-13,55890
2018-10-20,59640
2018-10-27,65470
2018-11-03,62630
2018-11-10,56780
2018-11-17,56860
2018-11-24,49330
2018-12-01,58300
2018-12-08,56470
2018-12-15,63130
2018-12-22,63860
2018-12-29,30020
2019-01-05,47850
2019-01-12,80350
2019-01-19,74400
2019-01-26,69960
2019-02-02,79950
2019-02-09,80150
2019-02-16,82580
2019-02-23,73170
2019-03-02,81750
2019-03-09,76940
2019-03-16,80240
2019-03-23,84940
2019-03-30,84330
2019-04-06,83140
2019-04-13,74950
2019-04-20,70790
2019-04-27,69540
2019-05-04,74730
2019-05-11,71030
2019-05-18,71350
2019-05-25,69590
2019-06-01,55510
2019-06-08,69300
2019-06-15,66220
2019-06-22,66730
2019-06-29,67190
2019-07-06,49790
2019-07-13,62740
2019-07-20,64220
2019-07-27,63230
2019-08-03,63970
2019-08-10,65040
2019-08-17,66110
2019-08-24,67340
2019-08-31,62710
2019-09-07,52380
2019-09-14,63990
2019-09-21,66960
2019-09-28,66000
2019-10-05,65090
2019-10-12,62990
2019-10-19,56890
2019-10-26,66070
2019-11-02,63810
2019-11-09,61860
2019-11-16,56740
2019-11-23,62950
2019-11-30,46450
2019-12-07,54690
2019-12-14,62560
2019-12-21,64350
2019-12-28,41950
2020-01-04,30670
2020-01-11,90570
2020-01-18,78830
2020-01-25,75030
2020-02-01,84710
2020-02-08,83080
2020-02-15,81320
2020-02-22,75170
2020-02-29,81710
2020-03-07,83980
2020-03-14,78520
2020-03-21,64680
2020-03-28,53500
2020-04-04,55080
2020-04-11,58870
2020-04-18,56540
2020-04-25,62270
2020-05-02,67430
2020-05-09,69410
2020-05-16,72050
2020-05-23,75050
2020-05-30,67160
2020-06-06,74120
2020-06-13,82590
2020-06-20,87950
2020-06-27,102790
2020-07-04,113210
2020-07-11,112090
2020-07-18,122760
2020-07-25,116460
2020-08-01,117200
2020-08-08,113860
2020-08-15,111680
2020-08-22,103870
2020-08-29,101630
2020-09-05,101390
2020-09-12,79480
2020-09-19,97190
2020-09-26,95160
